                user     system      total        real
find        5.210000   2.240000   7.450000 (  8.275189)
Thread ID: 69971917711720
Total: 7.450000

 %self     total     self     wait    child    calls  name
  0.00      0.00     0.00     0.00     0.00        1  ActiveSupport::CoreExtensions::String::Inflections#underscore (/data/web/arch/1/lib/ruby/gems/1.8/gems/activesupport-2.3.8/lib/active_support/core_ext/string/inflections.rb:71}
  0.00      0.00     0.00     0.00     0.00    10000  Array#join (ruby_runtime:0}
  0.00      0.00     0.00     0.00     0.00        1  Class#read_inheritable_attribute (/data/web/arch/1/lib/ruby/gems/1.8/gems/activesupport-2.3.8/lib/active_support/core_ext/class/inheritable_attributes.rb:112}
  0.00      0.01     0.00     0.00     0.01        1  <Class::ActiveRecord::Base>#reset_table_name (/data/web/arch/1/lib/ruby/gems/1.8/gems/activerecord-2.3.8/lib/active_record/base.rb:1163}
  0.00      0.00     0.00     0.00     0.00        1  MonitorMixin#mon_check_owner (/data/web/arch/1/lib/ruby/1.8/monitor.rb:276}
  0.00      0.00     0.00     0.00     0.00        1  ActiveRecord::ConnectionAdapters::ConnectionPool#checkout (/data/web/arch/1/lib/ruby/gems/1.8/gems/activerecord-2.3.8/lib/active_record/connection_adapters/abstract/connection_pool.rb:181}
  0.00      0.00     0.00     0.00     0.00        3  Array#initialize (ruby_runtime:0}
  0.00      0.00     0.00     0.00     0.00        1  PGconn#status (ruby_runtime:0}
  0.00      0.00     0.00     0.00     0.00    10000  Hash#update (ruby_runtime:0}
  0.00      0.00     0.00     0.00     0.00        1  Module#blank_slate_method_added (ruby_runtime:0}
  0.00      0.00     0.00     0.00     0.00        1  ActiveRecord::ConnectionAdapters::ConnectionPool#checkout_and_verify (/data/web/arch/1/lib/ruby/gems/1.8/gems/activerecord-2.3.8/lib/active_record/connection_adapters/abstract/connection_pool.rb:255}
  0.00      0.00     0.00     0.00     0.00        2  Kernel#singleton_method_added (ruby_runtime:0}
  0.00      0.00     0.00     0.00     0.00        1  Module#class_eval (ruby_runtime:0}
  0.00      7.45     0.00     0.00     7.45        1  <Module::Benchmark>#benchmark (/data/web/arch/1/lib/ruby/1.8/benchmark.rb:170}
  0.00      0.00     0.00     0.00     0.00        1  MonitorMixin#synchronize (/data/web/arch/1/lib/ruby/1.8/monitor.rb:239}
  0.00      0.00     0.00     0.00     0.00        1  <Module::Kernel>#format (ruby_runtime:0}
  0.00      0.00     0.00     0.00     0.00    10000  Array#uniq (ruby_runtime:0}
  0.00      0.00     0.00     0.00     0.00        1  String#empty? (ruby_runtime:0}
  0.00      0.00     0.00     0.00     0.00    10010  Kernel#block_given? (ruby_runtime:0}
  0.00      0.00     0.00     0.00     0.00    10000  PGresult#fields (ruby_runtime:0}
  0.00      0.00     0.00     0.00     0.00        1  <Class::ActiveRecord::Base>#default_scoping ((eval):1}
  0.00      0.00     0.00     0.00     0.00    20008  Time#to_f (ruby_runtime:0}
  0.00      0.00     0.00     0.00     0.00        1  Module#module_eval (ruby_runtime:0}
  0.00      0.00     0.00     0.00     0.00    10001  Hash#has_key? (ruby_runtime:0}
  0.00      0.00     0.00     0.00     0.00    10001  Array#initialize_copy (ruby_runtime:0}
